Title (internal),URL,Application,Activity,Task,Action,Feedback,Feedforward,∫Handedness,Multi-action,XR,Interface_Element,Interaction_Technique,,,,,
ShapesXR Grab and Place,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3a7a0414-87b2-4e63-e4a6-ac03d41a4800/public,ShapesXR,Manipulation ,Manipulation,"Controller Pose, Movement",Audio,"Text, Hover Effect",Dominant,"Sequential, Simulataneous",VR,,,,,,,
ShapesXR Teleport, https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/faeb495d-2fa6-4e9f-0b56-492d43e80800/public,ShapesXR,Locomotion,Teleport,"Controller Pose, Trigger",Audio,"Text, Hover Effect",Dominant,,VR,Raycast Pointer,,,,,,
ShapesXR Rotate View,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ac12ddd8-1de7-42c4-d6e4-1e0b94c0fd00/public,ShapesXR,Locomotion,Rotate (self),"Controller Pose, Movement",Text,"Text, Hover Effect",Both,,VR,,,,,,,
ShapesXR Zoom In,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/31b24645-6a01-4f3d-3d6d-2d979afeca00/public,ShapesXR,Locomotion,Scale (self),"Controller Pose, Trigger",Text,"Text, Hand Gesture",Both,,VR,,,,,,,
ShapesXR Button Click ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/15209aff-4739-4898-6723-dffe14d4ed00/public,ShapesXR,Configuration,Selection,"Controller Pose, Trigger",Audio,Text,Dominant,,VR,"Button, Raycast Pointer",Raycast Pointer,,,,,
ShapesXR Grab and Pull,,Shapes XR,Grab and Pull ,,,,,,,,,,,,,,
Archery Pro Menu Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/525ac601-4fa0-4e7c-04ae-e65b2b777d00/public,Archery Pro,System Control,Selection,"Controller Pose, Trigger","Audio, Object Location",,Non-dominant,,VR,Bow,Grab,,,,,
Archery Pro Grab Bow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/47f41030-a20e-43e7-e7fa-c4c4dce80300/public,Archery Pro,Manipulation,Object Acquisition,"Controller Pose, Trigger, Grip",Audio,Arrow Indicator,,,VR,Object,Raycast Selection,,,,,
Archery Pro Draw Arrow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/726e6390-35f7-4062-ca1d-2bcdb0285500/public,Archery Pro,Manipulation,Object Manipulation,"Controller Pose, Trigger or Grip Button","Haptic Bump, Audio",Text,Both,"Sequential, Simultaneous",VR,Object,Raycast Selection,,,,,
Archery Pro Menu Scrolling,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/53b2a2a6-fc49-4e4b-e64b-8efd59782100/public,Archery Pro,System Control,Scrolling,Thumbstick,Menu Animation,,Dominant,,VR,2D Menu,Thumbstick Scroll,,,,,
Archery Pro Menu Scrolling (ver 2),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/14fc52f8-bd5f-49f2-16bc-606cdc2b2000/public,Archery Pro,System Control,Scrolling,"Controller Pose, Trigger",Menu Animation,,Dominant,,VR,2D Menu,Raycast Scroll,,,,,
Roblox Menu Scrolling,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4556b012-63e1-4c32-df67-808411874f00/public,Roblox,System Control,Scrolling,Thumbstick,Menu Animation,,Dominant,,VR,2D Menu,Thumbstick Scroll,,,,,
Roblox Game Selection (Launches Game),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/446ed009-f819-4d2b-2aa1-f51c92bfe500/public,Roblox,System Control,Activation,"Controller Pose, Trigger","Audio, Environment Change",Hover Effect,Either,,VR,Button,Raycast Selection,,,,,
Roblox Game Selection (Opens Game Description),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5f0d3d7a-50ac-4948-c328-ec109b426400/public,Roblox,System Control,Selection,"Controller Pose, Trigger","Audio, Highlighting, Menu Change",,Either,,VR,"Button, 2D Menu",Raycast Selection,,,,,
Roblox (Be Fish) Persective Rotation,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/68571ace-fa84-4f3c-60a8-6f0e7193ef00/public,Roblox,Locomotion,Rotate (self),Thumbstick (right),Vignetting,,Dominant,,VR,,Thumbstick Rotation,,,,,
Roblox (Be Fish) Move Forward,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7883ad5e-6dd4-4540-c6e3-84f4c8227300/public,Roblox,Locomotion,Navigation,Thumbstick (left),"Vignetting, Audio",,Non-dominant,,VR,,Thumbstick Locomotion,link to LT,,,,
Roblox (Beatbox VR) Move Forward,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/00ef16bb-34d0-482d-727d-8715575b3e00/public,Roblox,Locomotion,Navigation,Thumbstick (left),Vignetting,,Non-dominant,,VR,,Thumbstick Rotation,,,,,
Roblox (Beatbox VR) Perspective Rotation,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7bf1d659-691a-4b5c-297b-130e77756800/public,Roblox,Locomotion,Navigation,Thumbstick (left),Vignetting,,Non-dominant,,VR,,Thumbstick Locomotion,link to LT,,,,
Roblox (Beatbox VR) Open Song Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aee37ae1-ebff-4de4-f703-1512ebd7bb00/public,Roblox,System Control,Selection,"Movement, X Button",UI,,Either,,VR,,Raycast Selection,,,,,
Roblox (Beatbox VR) Song Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8d38053e-0158-42c7-7cf2-bb0c9729ed00/public,Roblox,System Control,Selection,"Controller Pose, Trigger",Audio,,Either,,VR,Button,Raycast Selection,,,,,
Roblox (Beatbox VR) Strike Block,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fd4e01c0-2fd2-4d5f-704a-5b5bd5894700/public,Roblox,Slashing,Striking,"Controller Pose, Controller Movement","Audio, ",Moving Obstacle,Either,,VR,Object,Slashing,,,,,
Forever Pets Hatch Egg ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/860940cc-90cc-46b3-24a1-9b30e643c500/public,Forever Pets,Activation,Manipulation,Controller Pose,Audio,Unhatched Egg ,Dominant,,VR,Object,Touch ,,,,,
Forever Pets Feed ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/40ee4377-6043-4edc-222e-584759b0f100/public,Forever Pets,,Manipulation,"Controller Pose, Trigger",Audio,,,,,Object,,,,,,
Forever Pets Perch ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aa1a92a1-85e8-4daa-3ff1-418283822600/public,Forever Pets,Locomotion,Manipulation,"Controller Pose, Grip Button",Audio,,,,,,,,,,,
