Title (internal),URL,Application,Activity,Task,Action,Feedback,Feedforward,∫Handedness,Multi-action,XR,Interface_Element,Interaction_Technique,,,,,
Maestro Accents ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/35a33fbc-5bad-4cf8-7792-53eb810a3d00/public,Maestro (Demo),,Manipulation ,Movement ,"Haptic Bump, Audio ",,,,,,Gesture ,,,,,
Maestro Menu Select ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8246d307-3de3-4442-af37-5e640e9e7b00/public,Maestro (Demo),,Selection ,Trigger ,"Haptic Bump, Audio ",,,,,,Raycast Selection ,,,,,
Maestro Start Concert ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d25ff526-375e-4625-1db0-0e1b81663400/public,Maestro (Demo),,Manipulation ,Movement ,Audio,,,,,,Gesture ,,,,,
Hockey Select Play Mode,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/126916f5-49af-4282-f3fd-4470efd64b00/public,VR Hockey Reborn ,,Selection ,Trigger,Visual Change ,,,,,Object,Raycast Selection ,,,,,
Hockey Grab Stick ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/0810f6fc-3485-4db3-8e94-11e223a3c000/public,VR Hockey Reborn ,,Manipulation ,Grip Buttons,,,,,,Object ,Grab and Place ,,,,,
Hockey Hit Puck ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/740f2170-bc05-462e-b54a-6c55233c0a00/public,VR Hockey Reborn ,,Manipulation,Movement ,Audio,,,,,Object ,Grab and Place ,,,,,
Hockey Move ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/df61f34e-5b4b-4da9-9469-88de12d86b00/public,VR Hockey Reborn ,,Navigation,Thumbstick ,,,,,,,World Movement,,,,,
Hockey Goal ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/df61f34e-5b4b-4da9-9469-88de12d86b00/public,VR Hockey Reborn ,,Manipulation ,Movement ,Audio ,,,,,Object,Object Manipulation,,,,,
Guitar Toggle Menu ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/533b81fa-fa2d-4ada-3c57-d7f7b1c10c00/public,Guitar Strummer ,,Selection ,Thumbstick (press),,,,,,Menu,Raycast Selection ,,,,,
Guitar Place Chord in Scene ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ad45186e-d872-4b4b-0fa5-a2b0bb727c00/public,Guitar Strummer ,,Selection ,Trigger ,,,,,,Object ,Raycast Selection  ,,,,,
Guitar Move Chord ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d96cc7a0-5221-4a4d-ed47-e2bf89663700/public,Guitar Strummer ,,Manipulation ,Grip Button ,,,,,,Object ,Grab and Place ,,,,,
Guitar Choose Song ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/40134fe4-2592-43c4-cd4a-ab97006a8200/public,Guitar Strummer ,,Selection ,Trigger ,,,,,,UI Element,Raycast Selection ,,,,,
Guitar Strum ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8df49dac-0b7f-4a93-9e0c-c6b5a83f7b00/public,Guitar Strummer ,,Manipulation ,Movement ,Audio ,,,,,Object ,Object Manipulation,,,,,
Guitar Play Chord ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/28654d35-34c0-4159-31a5-9998e41eef00/public,Guitar Strummer ,,Selection ,"Hover, Movement ",Audio ,,,,,Object ,Object Manipulation,,,,,
Baseball Pro Grab Bat,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4f043849-6a3b-4b63-da99-bbe6cf819600/public,Baseball Pro ,,Manipulation,"Contrtoller pose, grip",,,,,,,,,,,,
Baseball Pro Menu Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/22e24bad-cba1-4ffb-dd2c-1468b0e09c00/public,Baseball Pro ,,Selection ,"Controller pose, trigger",,,,,,,,,,,,
Baseball Pro Swing Bat / Hit Ball,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/084f2b8a-9b5a-43e6-2c68-8eeda96f9200/public,Baseball Pro ,,Manipulation,"Grip, Movement","audio, ball trail, ball distance indicator",,,,,,,,,,,
Baseball Pro Spawn Ball,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b12fe099-773c-4df3-8e97-d5d45c6eb300/public,Baseball Pro ,,Manipulation,Grip / Trigger,Audio,,,,,,,,,,,
Baseball Pro Throw Ball,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ca4ad246-fde0-482b-0081-1c98bfe06700/public,Baseball Pro ,,Manipulation,"Grip, movement",,,,,,,,,,,,
Tilt Brush VR Trace Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a353445d-2f4a-4531-0205-01fdf63d8c00/public,Tilt Brush VR,,Selection ,Controller Pose,,,,,,Raycast Pointer,Raycast Selection,,,,,
Tilt Brush VR Thumb Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/252f2238-44be-424f-f5e3-64512088c800/public,Tilt Brush VR,,Selection ,Thumbstick,Visual Change,,,,,UI Element,Button Selection,,,,,
Tilt Brush VR Color Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aa8f3f58-ead9-45bc-ea47-c0f57b203300/public,Tilt Brush VR,,Selection ,"Controller Pose, Trigger","Haptic Bump, Visual Change",,,,,UI Element,Button Selection,,,,,
Tilt Brush VR Brush Size Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8c8765a2-70d2-4fc7-5eca-789ea4718a00/public,Tilt Brush VR,,Selection ,Thumbstick,"Haptic Bump, Visual Change",,,,,UI Element,Button Selection,,,,,
TIlt Brush VR Background Adjustment,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/63bef19d-daf5-4f2c-fb37-05d019900800/public,Tilt Brush VR,,Manipulation,"Controller Pose, Movement, Grip","Audio, Visual Change",,,,,,Gesture,,,,,
Tilt Brush VR Drawing,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/76448c48-619c-483f-ab94-e12963f4f000/public,Tilt Brush VR,,Draw,"Controller Pose, Trigger","Audio, Visual Change",,,,,,Gesture,,,,,
First Encounters Button State Change,,First Encounters,,Manipulation,Contoller Pose,Visual (Color) Change,,,,,Raycast Pointer,Raycast Pointing/Object Manipulation,,,,,
First Encounters Equipping weapon,,First Encounters,,Manipulation,Trigger,"Visual Change, Audio Feedback",,,,,Raycast pointer,"Raycast selection, Object Manipulation",,,,,
First Encounters Button Selection,,First Encounters,,Selection ,Trigger,Screen Change/Pop up,,,,,Raycast pointer,Button Selection,,,,,
First Encounters Shooting Gun,,First Encounters,,"Object Selection, Manipulation",Trigger,"Audio, Visual Change",,,,,Object,Object Selection and Manipulation of target,,,,,
First Encounters Shining Light,,First Encounters,,"Manipulation, Navigation",Controller Pose,Visual Change,,,,,Object,Scene Manipulation,,,,,
,,Instagram ,,,,,,,,,,,,,,,
,,VRChat,,,,,,,,,,,,,,,
,,Animal Company,,,,,,,,,,,,,,,
,,Scary Baboon ,,,,,,,,,,,,,,,
,,UG ,,,, ,,,,,,,,,,,
,,VRFS ,,,,,,,,,,,,,,,
,,Rec Room ,,,,,,,,,,,,,,,
