Title (internal),URL,Application,Task,Input,Feedback,Interface_Element,Interaction_Technique,Link_To_Video(Internal),Assignee
Roblox Game Selection (Opens Game Description),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5f0d3d7a-50ac-4948-c328-ec109b426400/public,Roblox,Selection,"Controller Pose, Trigger","Audio, Highlighting, UI change",Button,Button Selection,,
Roblox (Be Fish) Persective Rotation,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/68571ace-fa84-4f3c-60a8-6f0e7193ef00/public,Roblox,Navigation,Thumbstick (right),Vignetting,,Move (Right) Joystick L/R,,
Roblox (Be Fish) Move Forward,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7883ad5e-6dd4-4540-c6e3-84f4c8227300/public,Roblox,Navigation,Thumbstick (left),"Vignetting, Audio",,Move (Left) Joystick ,,
Roblox (Beatbox VR) Move Forward,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/00ef16bb-34d0-482d-727d-8715575b3e00/public,Roblox,Navigation,Thumbstick (left),Vignetting,,Move (Left) Joystick ,,
Roblox (Beatbox VR) Perspective Rotation,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7bf1d659-691a-4b5c-297b-130e77756800/public,Roblox,Navigation,Thumbstick (left),Vignetting,,Move (Right) Joystick L/R,,
Roblox (Beatbox VR) Open Song Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aee37ae1-ebff-4de4-f703-1512ebd7bb00/public,Roblox,Selection,"Movement, X Button",UI,,,,
Roblox (Beatbox VR) Song Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8d38053e-0158-42c7-7cf2-bb0c9729ed00/public,Roblox,Selection,"Controller Pose, Trigger",Audio,Button,Button Selection,,
Roblox (Beatbox VR) Strike Block,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fd4e01c0-2fd2-4d5f-704a-5b5bd5894700/public,Roblox,Aim,"Controller Pose, Controller Movement",Audio,Object,,,
Forever Pets Hatch Egg ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/860940cc-90cc-46b3-24a1-9b30e643c500/public,Forever Pets,Manipulation,Controller Pose,Audio,Object,,,
Forever Pets Feed ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/40ee4377-6043-4edc-222e-584759b0f100/public,Forever Pets,Manipulation,"Controller Pose, Trigger",Audio,Object,,,
Forever Pets Perch ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/aa1a92a1-85e8-4daa-3ff1-418283822600/public,Forever Pets,Manipulation,"Controller Pose, Grip Button",Audio,,,,
Forever Pets Menu Open,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b28c007d-0b2a-4520-9133-e066ce22c400/public,Forever Pets,Selection,Controller Pose,Haptic Bump,Button / Lever,,,
Forever Pets Menu Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6d288b4f-c69c-4816-d226-54f2a4976100/public,Forever Pets,Selection,Trigger,Highlight,Button,,,
Forever Pets Dialogue Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4f19632e-3618-46a3-aad7-5e4189ed3400/public,Forever Pets,Selection,Controller Pose ,Audio,Button,,,
Forever Pets Table Reposition ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/40b10384-eec6-47df-59e1-f833d3cf9300/public,Forever Pets,Manipulation,"Controller Pose, Grip Button",,Object,,,
Forever Pets Pet,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a910ba16-4a21-4235-89d9-a83820da3300/public,Forever Pets,Manipulation,Controller Pose,,Object,,,
Wizards Normal Attack,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b349deef-9885-4379-07ec-bb567aba6900/public,War of Wizards: Apprentice Edition,Aim,"Controller Button, Movement","Haptic Bump, Audio",,Button Selection,,
